Day,Day Name,Shift
0,Monday,--
1,Tuesday,--
2,Wednesday,--
3,Thursday,ED Nights
4,Friday,ED Nights
5,Saturday,ED Nights
6,Sunday,ED Nights
7,Monday,Rest Day
8,Tuesday,Rest Day
9,Wednesday,--
10,Thursday,ED Day 01
11,Friday,--
12,Saturday,ED Day 02
13,Sunday,--
14,Monday,--
15,Tuesday,--
16,Wednesday,--
17,Thursday,--
18,Friday,ED Day 02
19,Saturday,--
20,Sunday,--
21,Monday,--
22,Tuesday,ED Day 02
23,Wednesday,--
24,Thursday,--
25,Friday,--
26,Saturday,--
27,Sunday,--
28,Monday,ED Day 02
29,Tuesday,--
30,Wednesday,ED Day 02
31,Thursday,--
32,Friday,ED Day 01
33,Saturday,--
34,Sunday,--
35,Monday,ED Day 01
36,Tuesday,--
37,Wednesday,--
38,Thursday,--
39,Friday,--
40,Saturday,--
41,Sunday,--
42,Monday,--
43,Tuesday,--
44,Wednesday,ED Day 01
45,Thursday,--
46,Friday,--
47,Saturday,--
48,Sunday,ED Day 02
49,Monday,--
50,Tuesday,ED Day 02
51,Wednesday,--
52,Thursday,--
53,Friday,ED Day 01
54,Saturday,--
55,Sunday,ED Day 02
