Day,Day Name,Shift
0,Monday,ED Day 01
1,Tuesday,--
2,Wednesday,--
3,Thursday,ED Day 02
4,Friday,--
5,Saturday,--
6,Sunday,--
7,Monday,--
8,Tuesday,--
9,Wednesday,--
10,Thursday,--
11,Friday,ED Day 01
12,Saturday,--
13,Sunday,--
14,Monday,ED Day 01
15,Tuesday,--
16,Wednesday,ED Day 02
17,Thursday,--
18,Friday,--
19,Saturday,ED Day 02
20,Sunday,--
21,Monday,--
22,Tuesday,ED Day 01
23,Wednesday,--
24,Thursday,--
25,Friday,--
26,Saturday,--
27,Sunday,ED Day 01
28,Monday,--
29,Tuesday,--
30,Wednesday,--
31,Thursday,ED Nights
32,Friday,ED Nights
33,Saturday,ED Nights
34,Sunday,ED Nights
35,Monday,Rest Day
36,Tuesday,Rest Day
37,Wednesday,--
38,Thursday,--
39,Friday,ED Day 02
40,Saturday,--
41,Sunday,--
42,Monday,--
43,Tuesday,--
44,Wednesday,--
45,Thursday,ED Day 02
46,Friday,--
47,Saturday,ED Day 01
48,Sunday,--
49,Monday,ED Day 02
50,Tuesday,--
51,Wednesday,ED Day 02
52,Thursday,--
53,Friday,--
54,Saturday,--
55,Sunday,--
