Day,Day Name,Shift
0,Monday,ED Day 02
1,Tuesday,--
2,Wednesday,ED Day 01
3,Thursday,--
4,Friday,--
5,Saturday,ED Day 01
6,Sunday,--
7,Monday,ED Day 01
8,Tuesday,--
9,Wednesday,--
10,Thursday,--
11,Friday,--
12,Saturday,--
13,Sunday,--
14,Monday,ED Day 02
15,Tuesday,--
16,Wednesday,--
17,Thursday,--
18,Friday,--
19,Saturday,--
20,Sunday,--
21,Monday,ED Day 02
22,Tuesday,--
23,Wednesday,--
24,Thursday,--
25,Friday,--
26,Saturday,--
27,Sunday,--
28,Monday,--
29,Tuesday,ED Day 01
30,Wednesday,--
31,Thursday,--
32,Friday,--
33,Saturday,ED Day 02
34,Sunday,--
35,Monday,--
36,Tuesday,--
37,Wednesday,--
38,Thursday,ED Nights
39,Friday,ED Nights
40,Saturday,ED Nights
41,Sunday,ED Nights
42,Monday,Rest Day
43,Tuesday,Rest Day
44,Wednesday,ED Day 02
45,Thursday,--
46,Friday,--
47,Saturday,--
48,Sunday,--
49,Monday,ED Nights
50,Tuesday,ED Nights
51,Wednesday,ED Nights
52,Thursday,Rest Day
53,Friday,Rest Day
54,Saturday,ED Day 01
55,Sunday,--
