Day,Day Name,Shift
0,Monday,--
1,Tuesday,ED Day 02
2,Wednesday,--
3,Thursday,ED Day 01
4,Friday,--
5,Saturday,--
6,Sunday,--
7,Monday,--
8,Tuesday,--
9,Wednesday,ED Day 02
10,Thursday,--
11,Friday,ED Day 02
12,Saturday,--
13,Sunday,ED Day 02
14,Monday,--
15,Tuesday,--
16,Wednesday,--
17,Thursday,ED Nights
18,Friday,ED Nights
19,Saturday,ED Nights
20,Sunday,ED Nights
21,Monday,Rest Day
22,Tuesday,Rest Day
23,Wednesday,--
24,Thursday,ED Day 01
25,Friday,--
26,Saturday,--
27,Sunday,--
28,Monday,ED Day 01
29,Tuesday,--
30,Wednesday,--
31,Thursday,--
32,Friday,ED Day 02
33,Saturday,--
34,Sunday,ED Day 01
35,Monday,--
36,Tuesday,ED Day 01
37,Wednesday,--
38,Thursday,--
39,Friday,--
40,Saturday,--
41,Sunday,--
42,Monday,ED Day 02
43,Tuesday,--
44,Wednesday,--
45,Thursday,--
46,Friday,--
47,Saturday,--
48,Sunday,--
49,Monday,--
50,Tuesday,--
51,Wednesday,--
52,Thursday,ED Day 01
53,Friday,--
54,Saturday,ED Day 02
55,Sunday,--
