Day,Day Name,Shift
0,Monday,--
1,Tuesday,ED Day 01
2,Wednesday,--
3,Thursday,--
4,Friday,--
5,Saturday,ED Day 02
6,Sunday,--
7,Monday,ED Nights
8,Tuesday,ED Nights
9,Wednesday,ED Nights
10,Thursday,Rest Day
11,Friday,Rest Day
12,Saturday,ED Day 01
13,Sunday,--
14,Monday,--
15,Tuesday,ED Day 02
16,Wednesday,--
17,Thursday,--
18,Friday,ED Day 01
19,Saturday,--
20,Sunday,ED Day 01
21,Monday,--
22,Tuesday,--
23,Wednesday,--
24,Thursday,ED Day 02
25,Friday,--
26,Saturday,--
27,Sunday,--
28,Monday,--
29,Tuesday,--
30,Wednesday,ED Day 01
31,Thursday,--
32,Friday,--
33,Saturday,--
34,Sunday,--
35,Monday,ED Nights
36,Tuesday,ED Nights
37,Wednesday,ED Nights
38,Thursday,Rest Day
39,Friday,Rest Day
40,Saturday,--
41,Sunday,ED Day 02
42,Monday,--
43,Tuesday,--
44,Wednesday,--
45,Thursday,--
46,Friday,ED Day 01
47,Saturday,--
48,Sunday,--
49,Monday,--
50,Tuesday,--
51,Wednesday,--
52,Thursday,--
53,Friday,--
54,Saturday,--
55,Sunday,--
