Day,Day Name,Shift
0,Monday,--
1,Tuesday,--
2,Wednesday,--
3,Thursday,--
4,Friday,--
5,Saturday,--
6,Sunday,--
7,Monday,--
8,Tuesday,ED Day 01
9,Wednesday,--
10,Thursday,--
11,Friday,--
12,Saturday,--
13,Sunday,--
14,Monday,ED Nights
15,Tuesday,ED Nights
16,Wednesday,ED Nights
17,Thursday,Rest Day
18,Friday,Rest Day
19,Saturday,--
20,Sunday,ED Day 02
21,Monday,--
22,Tuesday,--
23,Wednesday,--
24,Thursday,ED Nights
25,Friday,ED Nights
26,Saturday,ED Nights
27,Sunday,ED Nights
28,Monday,Rest Day
29,Tuesday,Rest Day
30,Wednesday,--
31,Thursday,ED Day 02
32,Friday,--
33,Saturday,--
34,Sunday,--
35,Monday,--
36,Tuesday,--
37,Wednesday,--
38,Thursday,--
39,Friday,ED Day 01
40,Saturday,--
41,Sunday,ED Day 01
42,Monday,--
43,Tuesday,ED Day 02
44,Wednesday,--
45,Thursday,ED Day 01
46,Friday,--
47,Saturday,ED Day 02
48,Sunday,--
49,Monday,ED Day 01
50,Tuesday,--
51,Wednesday,ED Day 01
52,Thursday,--
53,Friday,--
54,Saturday,--
55,Sunday,--
