Day,Day Name,Shift
0,Monday,--
1,Tuesday,--
2,Wednesday,ED Day 02
3,Thursday,--
4,Friday,--
5,Saturday,--
6,Sunday,--
7,Monday,--
8,Tuesday,--
9,Wednesday,--
10,Thursday,ED Day 02
11,Friday,--
12,Saturday,--
13,Sunday,ED Day 01
14,Monday,--
15,Tuesday,--
16,Wednesday,--
17,Thursday,ED Day 01
18,Friday,--
19,Saturday,--
20,Sunday,--
21,Monday,ED Day 01
22,Tuesday,--
23,Wednesday,ED Day 02
24,Thursday,--
25,Friday,ED Day 01
26,Saturday,--
27,Sunday,--
28,Monday,--
29,Tuesday,--
30,Wednesday,--
31,Thursday,--
32,Friday,--
33,Saturday,--
34,Sunday,--
35,Monday,--
36,Tuesday,--
37,Wednesday,--
38,Thursday,ED Day 01
39,Friday,--
40,Saturday,ED Day 02
41,Sunday,--
42,Monday,ED Nights
43,Tuesday,ED Nights
44,Wednesday,ED Nights
45,Thursday,Rest Day
46,Friday,Rest Day
47,Saturday,--
48,Sunday,ED Day 01
49,Monday,--
50,Tuesday,--
51,Wednesday,--
52,Thursday,ED Nights
53,Friday,ED Nights
54,Saturday,ED Nights
55,Sunday,ED Nights
